UPRN,Single_Line_Address,Postcode,Local_Authority_District,Longitude,Latitude,Planned,OCC Comment,Building Type,Building Use,Connectivity,Is Main?,Area (m²)
10095339580,"KEEPERS COTTAGE, LOWER ICOMB FARM, 3/138 MAIN STREET BLEDINGTON TO ICOMB HILL, ICOMB, GL54 1JG",GL54 1JG,West_Oxfordshire,-1.6729225,51.9012725,No known plans,None,Residential Accommodation,Residential Accommodation,Multi-Connected,true,42.386
10094867391,"CARAVAN 1, NORTH FOURSHIRE FARM, LONDON ROAD, MORETON-IN-MARSH, GL56 0PF",GL56 0PF,West_Oxfordshire,-1.6646539,51.987037,No known plans,None,Residential Accommodation,Residential Accommodation,Multi-Connected,true,42.386
10094867392,"CARAVAN 2, NORTH FOURSHIRE FARM, LONDON ROAD, MORETON-IN-MARSH, GL56 0PF",GL56 0PF,West_Oxfordshire,-1.6646587,51.987037,No known plans,None,Residential Accommodation,Residential Accommodation,Multi-Connected,true,42.386
10024178430,"HEATH FARM, LONDON ROAD, MORETON-IN-MARSH, GL56 0PG",GL56 0PG,West_Oxfordshire,-1.6604275,51.9853617,No known plans,None,Residential Accommodation,Residential Accommodation,Standalone,true,112.235
10096719628,"CARAVAN, ALLEN BUILDING AND CONSTRUCTION COMPOUND, ROAD THROUGH NEW TOWN, NEW TOWN, LITTLE COMPTON, GL56 0SL",GL56 0SL,West_Oxfordshire,-1.6283427,51.9685998,No known plans,None,Commercial Activity: Retail,Unknown,Standalone,false,184.472
200002883761,"HOGGS BARN, NEWTOWN, LITTLE COMPTON, MORETON-IN-MARSH, GL56 0SL",GL56 0SL,West_Oxfordshire,-1.6307672,51.9658292,No known plans,None,Commercial Activity: Retail,Unknown,Standalone,false,184.472
10094867842,"ANNEXE, OLD RECTORY, CHASTLETON, MORETON-IN-MARSH, GL56 0SU",GL56 0SU,West_Oxfordshire,-1.6402538,51.9622847,No known plans,None,Commercial Activity: Retail|Residential Accommodation,Commercial Activity: Retail|Residential Accommodation,Standalone,true,211.131
10094868549,"DWELLING KNOWN AS THE BOTHY, HARCOMB HOUSE, EVENLODE LANE, CHASTLETON, GL56 0SU",GL56 0SU,West_Oxfordshire,-1.6427879,51.9589066,No known plans,None,Residential Accommodation,Residential Accommodation,Semi-Connected,true,56.152
10093354418,"HILLYHOCKS, HARCOMB FARM, CHASTLETON, MORETON-IN-MARSH, GL56 0SU",GL56 0SU,West_Oxfordshire,-1.6473553,51.9602206,No known plans,None,Residential Accommodation,Residential Accommodation,Semi-Connected,true,61.241
10094869278,"JIMMYS BARN, CHASTLETON, MORETON-IN-MARSH, GL56 0SU",GL56 0SU,West_Oxfordshire,-1.6433938,51.9591314,No known plans,None,Commercial Activity: Industrial Or Manufacturing|Residential Accommodation,Commercial Activity: Industrial Or Manufacturing|Residential Accommodation,Semi-Connected,true,143.659
10094865118,"DILLIGAF FARM, ROAD THROUGH CHASTLETON, CHASTLETON, GL56 0SZ",GL56 0SZ,West_Oxfordshire,-1.6447143,51.9653221,No known plans,None,Agriculture Or Aquaculture|Commercial Activity: Other,Agriculture Or Aquaculture|Commercial Activity: Other,Standalone,false,624.315
10033224205,"BARN COTTAGE, CHASTLETON, MORETON-IN-MARSH, GL56 0TA",GL56 0TA,West_Oxfordshire,-1.6546777,51.977707,No known plans,None,Commercial Activity: Industrial Or Manufacturing|Residential Accommodation,Commercial Activity: Industrial Or Manufacturing|Residential Accommodation,Semi-Connected,true,143.659
10024174196,"BLACK BARNS, DAYLESFORD, MORETON-IN-MARSH, GL56 0YG",GL56 0YG,West_Oxfordshire,-1.6365634,51.922151,No known plans,None,Unknown,Unknown,Standalone,false,16.219
10094867922,"FELDON HERBS LTD, HOME & LOWER FARMS, KELMSCOTT, LECHLADE, GL7 3GL",GL7 3GL,West_Oxfordshire,-1.646459,51.7007917,No known plans,None,Residential Accommodation,Unknown,Standalone,false,19.535
10003998481,"3 HAZELLS LANE, FILKINS, LECHLADE, GL7 3HX",GL7 3HX,West_Oxfordshire,-1.6545728,51.7368432,No known plans,None,Agriculture Or Aquaculture|Commercial Activity: Other,Agriculture Or Aquaculture|Commercial Activity: Other,Standalone,false,624.315
