UPRN,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE
1,358260.99,172796.83,51.4526038,-2.6020703
26,352967,181077,51.5266333,-2.6793612
27,352967,181077,51.5266333,-2.6793612
30,354800,180469,51.5213173,-2.6528615
31,354796,180460,51.521236,-2.652918
32,353473,180409,51.5206696,-2.671979
33,352548,180308,51.5196842,-2.6852966
34,352515,180360,51.5201489,-2.6857792
38,352462,180401,51.5205131,-2.6865486
41,354662,180364,51.5203621,-2.6548369
42,358159,172793,51.4525618,-2.6035375
43,352300,180300,51.5195913,-2.6888696
44,352300,180300,51.5195913,-2.6888696
45,352300,180300,51.5195913,-2.6888696
46,352300,180300,51.5195913,-2.6888696
47,352300,180300,51.5195913,-2.6888696
48,352300,180300,51.5195913,-2.6888696
49,351682.39,178850.06,51.5065027,-2.6975704
53,352651,180172,51.5184701,-2.6837938
